MACH_SER_NO,OCUR_TS,,SMU,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_L,OCAL
Truck 11,24-Jul-16,10.50.55.000000000 AM,23068.33694,359.8,190,133,534,5.7,67,775,5.9,7,124.91859,95,24-Jul-16,09.50.55.000000000 PM
Truck 11,24-Jul-16,11.20.23.000000000 AM,23068.82806,346.7,170,282,539,5.7,72,716,5.7,6,125.3917665,90,24-Jul-16,10.20.23.000000000 PM
Truck 11,24-Jul-16,11.51.15.000000000 AM,23069.3425,343.9,141,63,495,5.4,75,729,5.7,5,116.8745899,78,24-Jul-16,10.51.15.000000000 PM
Truck 11,24-Jul-16,12.17.20.000000000 PM,23069.77722,373.7,207,264,565,5.4,54,704,5.7,7,122.5527076,88,24-Jul-16,11.17.20.000000000 PM
Truck 11,24-Jul-16,12.48.29.000000000 PM,23070.29639,343.4,171,9,499,5.6,61,725,5.9,6,118.2941193,76,24-Jul-16,11.48.29.000000000 PM
Truck 11,24-Jul-16,01.48.38.000000000 PM,23070.65,385.1,182,110,574,5.2,58,756,5.9,6,120.1868252,79,25-Jul-16,12.48.38.000000000 AM
Truck 11,24-Jul-16,02.17.50.000000000 PM,23071.23944,331.2,151,153,570,5.7,55,770,5.9,6,120.1868252,75,25-Jul-16,01.17.50.000000000 AM
Truck 11,24-Jul-16,02.47.19.000000000 PM,23071.73083,356.7,203,129,610,5.7,86,747,5.7,7,123.4990606,81,25-Jul-16,01.47.19.000000000 AM
Truck 11,24-Jul-16,03.18.07.000000000 PM,23072.24417,369.9,195,5,525,5.4,72,718,5.7,6,119.7136487,79,25-Jul-16,02.18.07.000000000 AM
Truck 11,24-Jul-16,03.44.25.000000000 PM,23072.6825,327.1,143,12,544,5.4,98,769,5.9,6,119.7136487,96,25-Jul-16,02.44.25.000000000 AM
Truck 11,24-Jul-16,04.11.36.000000000 PM,23073.13583,360.2,172,151,560,5.6,73,731,5.9,6,125.3917665,94,25-Jul-16,03.11.36.000000000 AM
Truck 11,24-Jul-16,04.40.53.000000000 PM,23073.62389,377.7,273,142,628,5.7,56,784,5.9,8,128.2308253,79,25-Jul-16,03.40.53.000000000 AM
Truck 11,24-Jul-16,05.49.27.000000000 PM,23074.25,344.5,157,77,564,5.2,79,760,5.7,6,121.6063546,77,25-Jul-16,04.49.27.000000000 AM
Truck 11,24-Jul-16,06.17.52.000000000 PM,23074.66722,309.7,183,321,547,5.4,73,734,5.7,6,120.6600017,81,25-Jul-16,05.17.52.000000000 AM
Truck 11,24-Jul-16,06.50.06.000000000 PM,23075.20444,348.1,170,136,553,5.4,74,776,5.9,6,123.972237,94,25-Jul-16,05.50.06.000000000 AM
Truck 11,24-Jul-16,07.19.46.000000000 PM,23075.69889,353.5,194,141,578,5.6,59,756,5.9,7,123.4990606,87,25-Jul-16,06.19.46.000000000 AM
Truck 11,24-Jul-16,08.19.33.000000000 PM,23076.45,318.9,199,544,81,0.1,106,782,5.9,6,97.00117783,66,25-Jul-16,07.19.33.000000000 AM
Truck 11,24-Jul-16,08.49.17.000000000 PM,23076.93917,352,201,247,640,5.6,71,756,5.9,7,127.7576489,86,25-Jul-16,07.49.17.000000000 AM
Truck 11,24-Jul-16,09.22.27.000000000 PM,23077.49222,367.5,201,168,587,5.6,59,756,5.9,7,129.6503548,84,25-Jul-16,08.22.27.000000000 AM
Truck 11,24-Jul-16,09.53.11.000000000 PM,23078.00444,372.1,208,433,623,5.7,79,797,5.9,7,132.0162371,91,25-Jul-16,08.53.11.000000000 AM
Truck 11,24-Jul-16,10.30.21.000000000 PM,23078.62389,347,191,683,666,5.9,60,743,5.6,6,133.9089431,88,25-Jul-16,09.30.21.000000000 AM
Truck 11,24-Jul-16,11.10.59.000000000 PM,23079.30139,363.2,183,360,594,5.4,59,767,5.6,6,131.5430607,87,25-Jul-16,10.10.59.000000000 AM
Truck 11,24-Jul-16,11.45.03.000000000 PM,23079.86917,326.5,180,123,505,5.2,63,695,5.6,6,120.6600017,79,25-Jul-16,10.45.03.000000000 AM
Truck 11,25-Jul-16,12.12.15.000000000 AM,23080.3225,351.9,224,333,591,5.6,59,710,5.6,7,127.7576489,92,25-Jul-16,11.12.15.000000000 AM
Truck 11,25-Jul-16,12.45.30.000000000 AM,23080.87667,304.4,194,84,579,5.4,68,687,5.6,6,119.2404723,84,25-Jul-16,11.45.30.000000000 AM
Truck 11,25-Jul-16,01.35.00.000000000 AM,23081.45,327.5,130,237,357,2.2,81,585,4.3,4,74.7618834,84,25-Jul-16,12.35.00.000000000 PM
Truck 11,25-Jul-16,03.03.12.000000000 AM,23082.05,367.8,186,79,535,3.6,63,782,5.6,7,123.972237,114,25-Jul-16,02.03.12.000000000 PM
Truck 11,25-Jul-16,03.31.47.000000000 AM,23082.54167,342.6,252,118,550,5.2,61,755,5.6,8,121.1331782,84,25-Jul-16,02.31.47.000000000 PM
Truck 11,25-Jul-16,04.01.55.000000000 AM,23083.04417,366.4,97,46,673,6.2,78,574,4.3,4,94.63529544,102,25-Jul-16,03.01.55.000000000 PM
Truck 11,25-Jul-16,04.27.25.000000000 AM,23083.46917,345.3,92,7,442,4.1,83,524,4.3,4,92.26941306,110,25-Jul-16,03.27.25.000000000 PM
Truck 11,25-Jul-16,04.47.20.000000000 AM,23083.80111,359.7,105,39,442,4.1,80,533,4.3,4,92.74258954,116,25-Jul-16,03.47.20.000000000 PM
Truck 11,25-Jul-16,05.08.09.000000000 AM,23084.14806,330.9,110,141,448,4.1,71,526,4.3,4,92.74258954,117,25-Jul-16,04.08.09.000000000 PM
Truck 11,25-Jul-16,05.30.39.000000000 AM,23084.52306,332.7,108,79,462,4.1,60,554,4.3,4,88.95717772,114,25-Jul-16,04.30.39.000000000 PM
Truck 11,25-Jul-16,05.52.33.000000000 AM,23084.88806,387.8,127,400,502,4.1,63,536,4.3,4,94.16211897,128,25-Jul-16,04.52.33.000000000 PM
Truck 11,25-Jul-16,07.07.54.000000000 AM,23085.65,347.4,93,328,44,0,79,515,4.3,4,61.51294204,64,25-Jul-16,06.07.54.000000000 PM
Truck 11,25-Jul-16,07.26.18.000000000 AM,23085.9,369.6,112,33,449,4.1,81,538,4.3,4,88.01082476,113,25-Jul-16,06.26.18.000000000 PM
Truck 11,25-Jul-16,07.47.24.000000000 AM,23086.25139,364.6,104,73,435,4.1,974,614,4.4,4,91.79623658,109,25-Jul-16,06.47.24.000000000 PM
Truck 11,25-Jul-16,08.50.42.000000000 AM,23087.05,375.4,106,1201,152,0.3,107,580,4.3,4,74.7618834,76,25-Jul-16,07.50.42.000000000 PM
Truck 11,25-Jul-16,09.27.56.000000000 AM,23087.61417,330.1,121,10,484,4.1,56,563,4.3,4,87.06447181,96,25-Jul-16,08.27.56.000000000 PM
